Date : 2020-03-23 22:13:10
Directory : c:\projects\ShopAppBeta\src
Total : 129 files,  2884 codes, 162 comments, 525 blanks, all 3571 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\projects\ShopAppBeta\src\app\admin\ledger\groups-form\groups-form.component.ts         | TypeScript |         61 |          4 |         11 |         76 |
| c:\projects\ShopAppBeta\src\app\admin\ledger\ledger-form\ledger-form.component.css        | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\admin\ledger\ledger-form\ledger-form.component.html       | HTML       |         33 |          0 |          1 |         34 |
| c:\projects\ShopAppBeta\src\app\admin\ledger\ledger-form\ledger-form.component.spec.ts    | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\admin\ledger\ledger-form\ledger-form.component.ts         | TypeScript |         54 |          4 |         12 |         70 |
| c:\projects\ShopAppBeta\src\app\admin\ledger\ledger.component.css                         | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\admin\ledger\ledger.component.html                        | HTML       |         11 |          0 |          0 |         11 |
| c:\projects\ShopAppBeta\src\app\admin\ledger\ledger.component.spec.ts                     | TypeScript |         20 |          0 |          6 |         26 |
| c:\projects\ShopAppBeta\src\app\admin\ledger\ledger.component.ts                          | TypeScript |         19 |          0 |          4 |         23 |
| c:\projects\ShopAppBeta\src\app\admin\products\products.component.css                     | CSS        |          0 |          0 |          1 |          1 |
| c:\projects\ShopAppBeta\src\app\admin\products\products.component.html                    | HTML       |         22 |          0 |          0 |         22 |
| c:\projects\ShopAppBeta\src\app\admin\products\products.component.ts                      | TypeScript |         61 |          3 |          7 |         71 |
| c:\projects\ShopAppBeta\src\app\app-routing.module.ts                                     | TypeScript |         13 |          0 |          3 |         16 |
| c:\projects\ShopAppBeta\src\app\app.component.css                                         | CSS        |          0 |          0 |          1 |          1 |
